Ticker,Price,SMA20,Upper Band,Lower Band,Distance from SMA%,HV20 (Annualized)
MDLZ,66.14,66.15,68.74,63.57,-0.02,21.29
SHOP,101.51,101.42,113.93,88.9,0.09,60.16
PYPL,69.85,69.73,75.04,64.43,0.17,23.55
V,353.54,352.93,370.3,335.56,0.17,15.24
JNJ,152.94,153.48,159.04,147.92,-0.35,20.8
BSX,104.5,104.09,106.72,101.46,0.4,13.8
KVUE,23.73,23.63,24.43,22.84,0.41,26.16
NKE,60.02,59.75,64.4,55.1,0.45,38.56
KEY,15.65,15.74,17.01,14.47,-0.57,32.54
ENB,46.06,45.79,47.4,44.18,0.6,19.16
KO,71.77,71.34,73.39,69.28,0.6,18.5
WMB,58.99,58.61,60.33,56.88,0.65,22.55
INFY,18.11,17.98,18.81,17.16,0.7,27.53
ABT,131.3,132.28,136.28,128.29,-0.74,19.54
ANET,91.2,90.52,101.85,79.19,0.75,47.88
CMG,50.63,51.05,52.6,49.51,-0.83,27.15
SBUX,84.4,83.52,87.77,79.28,1.05,41.9
TXN,176.3,174.38,199.18,149.58,1.1,40.45
AMAT,157.51,159.47,176.07,142.87,-1.23,41.3
BP,29.09,28.74,30.58,26.89,1.23,30.63
SOFI,13.09,13.26,14.31,12.21,-1.27,45.29
NVO,67.35,66.48,69.97,63.0,1.3,44.03
PFE,23.32,22.98,24.01,21.94,1.49,34.64
RTX,132.35,130.1,137.82,122.39,1.73,19.11
UBER,87.75,86.24,95.22,77.27,1.75,36.73
PPL,34.67,35.31,37.21,33.41,-1.81,20.43
PEP,129.34,131.73,135.27,128.19,-1.81,15.79
PLTR,123.31,121.08,133.3,108.87,1.84,70.44
MRK,77.58,79.16,86.05,72.27,-1.99,40.49
AMZN,200.99,197.07,215.76,178.37,1.99,35.64
ASX,9.64,9.45,10.53,8.37,2.02,32.54
ORCL,155.97,152.88,167.66,138.1,2.02,28.79
KMI,27.86,27.31,28.38,26.24,2.02,20.0
CL,92.59,90.71,93.42,88.0,2.07,20.73
D,56.29,55.14,57.21,53.06,2.09,21.41
NEE,67.76,69.51,75.9,63.11,-2.51,37.87
KDP,32.92,33.77,34.83,32.71,-2.53,17.47
PG,165.86,161.55,167.05,156.04,2.67,16.19
META,627.06,610.6,681.8,539.4,2.7,38.02
SCHW,87.4,85.02,91.01,79.03,2.8,13.12
EQT,55.61,54.02,58.54,49.51,2.93,29.94
FCX,39.02,37.91,39.74,36.07,2.94,29.65
MSFT,450.18,437.2,480.22,394.19,2.97,28.7
LRCX,81.06,78.45,89.48,67.42,3.33,38.98
GOOG,169.59,163.65,174.01,153.3,3.63,38.48
CSCO,63.11,60.83,65.66,56.0,3.75,21.77
GOOGL,168.47,162.13,172.63,151.63,3.91,38.38
AMD,110.31,106.06,121.61,90.51,4.01,34.76
GILD,107.37,103.11,110.56,95.66,4.13,44.42
NOK,5.34,5.12,5.42,4.82,4.34,16.43
PINS,30.9,29.58,35.37,23.79,4.46,53.85
HLN,11.14,10.66,11.25,10.08,4.46,22.52
MCHP,56.19,53.69,66.78,40.6,4.65,61.08
DOW,28.32,29.74,31.42,28.05,-4.76,33.48
NU,11.99,12.63,13.47,11.78,-5.04,35.05
AAPL,195.27,205.63,218.66,192.61,-5.04,32.86
TSM,191.98,182.63,205.66,159.6,5.12,33.93
CCL,22.25,21.03,24.69,17.37,5.8,43.75
MU,93.37,88.21,104.8,71.63,5.85,40.23
KHC,26.3,27.95,29.56,26.34,-5.91,22.88
DIS,109.72,103.49,122.52,84.46,6.02,41.0
AVGO,228.72,214.87,247.17,182.56,6.45,32.35
CPNG,27.45,25.71,28.89,22.53,6.77,40.85
APP,354.29,331.47,402.15,260.8,6.88,70.42
WDC,50.18,46.57,53.22,39.93,7.75,38.2
VST,158.16,145.5,165.8,125.19,8.7,48.24
TSLA,339.34,311.83,370.49,253.16,8.82,44.84
