Ticker,Price,SMA20,Upper Band,Lower Band,Distance from SMA%,HV20 (Annualized)
BGC,9.33,9.33,9.81,8.84,0.02,39.53
POR,42.0,42.1,43.15,41.06,-0.25,20.2
PTLO,11.43,11.48,13.43,9.54,-0.48,57.41
SHO,8.67,8.63,9.2,8.06,0.5,36.47
CRGY,8.54,8.61,9.51,7.72,-0.83,47.72
YETI,29.49,29.79,32.95,26.63,-1.01,59.99
RVLV,19.35,19.62,21.87,17.37,-1.38,64.51
IAS,7.84,7.69,8.51,6.87,1.99,33.44
DX,11.85,12.16,12.56,11.76,-2.58,18.1
MWA,24.57,25.42,27.23,23.61,-3.35,46.25
SAND,8.75,8.46,8.96,7.96,3.42,45.79
ALKS,29.35,30.44,32.55,28.33,-3.59,39.18
YOU,23.98,24.96,26.15,23.77,-3.91,44.48
HASI,25.27,26.42,28.81,24.03,-4.34,38.67
FLO,16.48,17.23,17.98,16.49,-4.38,24.52
CNK,32.45,31.0,32.81,29.2,4.67,22.88
EGO,19.81,18.89,20.62,17.16,4.85,55.67
SEE,31.89,30.36,34.4,26.32,5.04,34.71
NMRK,10.48,11.18,12.09,10.27,-6.26,47.18
IGT,15.29,16.44,17.9,14.97,-6.97,50.02
LZ,9.28,8.53,10.59,6.46,8.82,80.37
